UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
1ad057ff-7e88-408f-9094-fbdccf2a8eaa,6,45,5,45,54,47,55,48,50,50,0
321f3e9b-f8e8-49ef-b390-f2c81b62c2c9,1,45,5,11,45,44,11,44,33,11,0
a103b47c-f576-4580-9900-22825335dc98,1,45,5,11,45,44,11,44,33,11,0
24df8ccf-9a36-4dae-94b4-7321e7e321cd,1,45,5,11,45,44,11,44,33,11,0
8c1c8bda-542d-46ee-9ae9-5862f11c4884,4,45,5,86,30,24,11,24,9,11,0
36872054-7727-4f84-b8a3-a4a930dc1787,5,45,5,47,46,47,27,28,45,28,0
e7aee856-5715-4747-a571-e1d18a58336b,1,45,5,50,51,53,41,45,32,50,0
c5f4376e-e570-4520-b92f-383d0539736a,1,45,5,50,51,53,41,45,32,50,0
b132e013-2b38-4dfe-9309-17f396464d01,5,45,5,47,46,44,43,50,45,50,0
a6bb64a2-30e3-4b58-9acf-d1ad2671f2dd,5,45,5,47,46,44,43,50,45,50,0
8922527d-4257-493c-a6b5-180cdb65e3fe,5,45,5,47,46,44,43,50,45,50,0
2921a9ee-94a8-4c4a-9cc8-a04dd8f06feb,6,45,5,47,21,15,50,54,50,50,0
f6bdfc47-3f4d-4ab0-91cf-3e9ccb958644,6,45,5,47,21,15,50,54,50,50,0
eeba503f-5e93-4ea6-8de9-2ee184416016,5,45,5,34,69,68,26,11,34,11,0
086a86be-955c-4441-aa27-fbdd5c1bd7bb,5,45,5,34,69,68,26,11,34,11,0
4c350ab1-9d71-4363-9435-33d19a3892f2,5,45,5,34,69,68,26,11,34,11,0
30fba3f8-146c-429a-9a0d-4f5232bf2523,2,45,5,50,50,43,32,39,51,50,0
7e90ed3a-ab7d-4872-a434-3860295c4d12,2,45,5,50,50,43,32,39,51,50,0
eeac48c2-529a-4e93-8b35-e2135ef17bbf,2,45,5,50,50,43,32,39,51,50,0
